# Twilight Imperium Card Ability Timing Report

## Executive summary

This report analyzes **Twilight Imperium Fourth Edition with Prophecy of Kings**, and it treats the **Living Rules Reference + FAQ** as the primary authority, because the Rules Reference explicitly overrides the Learn to Play book when they conflict. It also applies the core card-precedence rule: **if a card contradicts the Rules Reference, the card takes precedence; if both can be followed, both should be followed**. That rule is the foundation for almost every “card vs. base rules” interaction in the game. citeturn30view1turn31view0

The most important timing rules are compact but decisive. In TI4, **“when” abilities occur at the moment of the event and take priority over “after” abilities**; **“before/after”** windows resolve immediately adjacent to the event; **“then”** means the text before “then” must be resolved first or the later clause cannot be resolved; **“may”** makes a clause optional; and abilities on components that remain in play are otherwise mandatory unless they say “may.” If multiple abilities are to be resolved in the **action phase**, players resolve them in **initiative order beginning with the active player**; in the **strategy** or **agenda** phases, they resolve starting with the **speaker** and proceeding clockwise. citeturn30view1turn26view2

For combat and invasion windows, the most important procedural anchors are these. **Space Cannon Offense** occurs **after Move Ships** during a tactical action, beginning with the active player and then clockwise. **Space Cannon Defense** occurs only during the invasion on the invaded planet(s), not from adjacent systems. In **space combat**, “before combat” occurs immediately before Anti-Fighter Barrage, and in the **first** combat round the “start of combat” and “start of combat round” windows are the same window; likewise the “end of combat” and “end of combat round” windows merge in the last round. The active player is the **attacker**; a widely used official-rulings compendium notes that the attacker gets the first opportunity to resolve abilities in each combat timing window. citeturn26view4turn26view5turn26view3turn26view7turn27view0

The official support page shows that, by 2025, TI4 has **Codex I–IV**, **Prophecy of Kings**, **Thunder’s Edge**, and a **Codex 4.5 Technology Card Updates** file available as separate official materials. Because your prompt centers on heroes and the classic TI4 phase structure, this report **focuses on base game + Prophecy of Kings + Codex-era replacements only where the replacement text was directly retrievable**. It **does not attempt to fold Thunder’s Edge or Twilight’s Fall into the main catalogue** unless explicitly stated, and any card text not directly retrievable from the accessible sources is marked **“unspecified.”** citeturn31view0

## Scope and rules hierarchy

The official phase skeleton is unchanged: the game round proceeds through **strategy phase**, **action phase**, **status phase**, and—once Mecatol Rex has entered play politically—**agenda phase**. The Prophecy of Kings rulebook also provides a compact quick-reference sequence for the tactical action: **Activation → Movement → Space Cannon Offense → Space Combat → Invasion → Production**. The Living Rules Reference gives the legal details for how card windows plug into that skeleton. citeturn29view0turn30view3turn28view5

For timing analysis, the following hierarchy is the safest way to adjudicate abilities:

| Priority order | Rule |
|---|---|
| Highest | Card text overrides the Rules Reference if they contradict. citeturn30view1 |
| Next | “When” effects take priority over “after” effects. citeturn30view1turn26view2 |
| Next | “Cannot” is absolute; if two “cannot” abilities conflict with an enabling or cancel effect, persistent “cannot” beats one-time ability, and enabling beats cancel. citeturn30view1 |
| Next | In action-phase shared windows, resolve in initiative order starting with the active player. In strategy/agenda shared windows, start with the speaker and go clockwise. citeturn30view1 |
| Next | If a card says “then,” the earlier clause must resolve first. citeturn30view1 |
| Baseline | If a cost cannot be paid, the ability’s effect cannot be resolved. citeturn30view1 |

Two global action-card rules matter constantly. First, a card whose first paragraph begins **“Action:”** is a **component action** and can only be played during your turn in the action phase. Second, **multiple action cards with the same name cannot be played in a single timing window to affect the same units or the same game effect**; canceled cards are not treated as played. citeturn6view3turn26view9

## Master catalogue

The full card pool across base game, Prophecy of Kings, Codex updates, generic promissories, leaders, mechs, flagships, faction technologies, and unit upgrades is extremely large. To keep the report usable, the master catalogue below is split by component family and compresses some entries with identical timing structures into grouped rows. Wherever the accessible materials did not expose the full verified card text before token cutoff, the entry is marked **unspecified**.

Abbreviation key used in the tables: **O** optional, **M** mandatory, **Act** component action, **Int** interrupt or replacement “when”, **Resp** reactive “before/after”, **Cont** continuous, **Exh** exhaust, **Purge** one-shot purge.

### Core timing windows and generic action cards

| Card name | Type | Text | Trigger phase/step | Timing window | Effect summary | Opt./Mand. | Interaction notes | Rulebook citation | Example use-case |
| Space Dock II / Floating Factory II / Dimensional Tear II / Memoria II / War Sun / Prototype War Sun II | unit tech | Space Dock II increases Production and exempts up to 3 fighters; Floating Factory II moves/retreats as ship and dies if blockaded; Dimensional Tear II makes its system a gravity rift your ships ignore and exempts up to 12 fighters; Memoria II adjacency-to-mechs text; War Sun and Prototype War Sun II remove Planetary Shield in system. | Production / movement / blockade / bombardment | Mixed | Mostly continuous rules-modification cards | Mixed | These are mostly continuous permissions or status changes, not reactive windows. citeturn33view3turn33view4turn34view3 | Production, blockade, movement, Planetary Shield. citeturn28view2turn8search22 | Use War Sun to ignore Planetary Shield before Bombardment |

### Faction-specific cards

The table below intentionally compresses each faction’s known **promissory note, leaders, mech, flagship, and directly retrieved faction-tech text** into one row so the catalogue remains usable. Where a specific faction-tech text was not directly retrievable in the accessible excerpts, it is marked **unspecified**.

| Card name | Type | Text | Trigger phase/step | Timing window | Effect summary | Opt./Mand. | Interaction notes | Rulebook citation | Example use-case |
|---|---|---|---|---|---|---|---|---|---|
| The Arborec | faction | **Stymie:** base Act lockout on Arborec production near your units; Ω reacts after someone moves into your units’ system and places their token in a non-home system. **Agent Letani Ospha:** Action, upgrade a non-fighter ship up to +2 cost. **Commander Dirzuga Rophal:** after activation of a system with your PRODUCTION units, produce 1 unit there. **Hero Letani Miasmiala:** Action, produce in any number of systems with your ground forces. **Mech Letani Behemoth:** Deploy from Mitosis; Sustain, Production 2, Planetary Shield. **Flagship Duha Menaimon:** after activation here, produce up to 5 units. | Action phase; activation; start-turn logistics | Mixed | Production and board-spread faction |
| O-heavy | Arborec timing is checked constantly at activation and production. citeturn18view0turn19view0turn23view0turn23view5 | Abilities, activation, production, component action. citeturn30view1turn29view0turn26view9 | Use hero after Warfare to flood multiple fronts |
| The Barony of Letnev | faction | **War Funding / Ω:** start of space-combat round rerolls. **Agent Viscount Unlenn:** start of combat round, one ship rolls +1 die. **Commander Farran:** after Sustain Damage, gain TG. **Hero Darktalon Treilla:** fleet-pool and law cap removed for non-fighters this round. **Mech Dunlain Reaper:** Deploy at start of ground-combat round by spending 2 resources to swap infantry for mech. **Flagship Arc Secundus:** enemy units lose Planetary Shield; start of each space-combat round repair this ship; Bombardment 5(x3). **Faction techs:** L4 Disruptors; Non-Euclidean Shielding. | Combat; invasion; production | Mixed | Strong Sustain Damage and bombardment suite | O-heavy | Non-Euclidean Shielding combines famously with sustain units and Arc Secundus. citeturn18view0turn20view0turn24view0turn23view5turn36view4turn36view8 | Combat timing, Sustain Damage, invasion. citeturn26view3turn30view1 | Sustain a dread, cancel two hits, then gain a TG |
| The Clan of Saar | faction | **Ragh’s Call:** after you commit units to land, pull Saar ground forces off that planet. **Agent Captain Mendosa:** after system activation, set one ship’s move to highest move present. **Commander Rowl Sarrig:** when producing fighters/infantry, place them at any un-blockaded dock. **Hero Gurno Aggero:** Action, destroy other players’ infantry and fighters in adjacent system. **Mech Scavenger Zeta:** Deploy after gaining planet for 1 TG. **Flagship Son of Ragh:** AFB 6(x4), Sustain. **Faction tech:** Chaos Mapping. **Unit tech:** Floating Factory II. | Activation; production; invasion | Mixed | Mobility/production faction | O-heavy | Chaos Mapping’s start-of-turn production window is easy to miss. citeturn18view0turn20view0turn24view0turn23view5turn36view1turn33view3 | Activation, start of turn, production. citeturn6view3turn30view1 | Produce before taking your normal action |
| The Embers of Muaat | faction | **Fires of the Gashlai:** Action, remove a fleet token from Muaat player to gain War Sun tech. **Agent Umbat:** Action, a player may produce up to 2 units cost 4 or less with War Sun/flagship. **Commander Magmus:** after you spend a strategy token, gain TG. **Hero Ba’al:** after moving a War Sun into eligible non-home system, destroy all other units there and replace tile with Muaat supernova. **Mech Ember Colossus:** when using Star Forge nearby, place 1 infantry with this unit. **Flagship The Inferno:** Action, spend strategy token to place 1 cruiser in system. **Faction tech:** Magmus Reactor / Ω. **Unit tech:** Prototype War Sun II. | Action phase; move-into-system; production | Mixed | War Sun faction with unique post-move destruction | O-heavy | TI Rules notes Nova Seed can trigger off movement methods beyond standard tactical movement. citeturn18view0turn20view0turn24view0turn23view5turn36view9turn34view3turn8search18 | Movement 58 and combat/invasion implications. citeturn28view2turn30view1 | Move War Sun in, trigger hero, erase the system |
| The Emirates of Hacan | faction | **Trade Convoys:** Action, you may transact with non-neighbors until returned. **Agent Carth:** action-phase exhaust for 2 commodities or refresh another player’s commodities. **Commander Gila:** when casting votes, spend TG for +2 votes each. **Hero Harrugh Gefhara:** when units use Production, reduce cost of each unit to 0, then purge. **Mech Pride of Kenara:** planet card may be traded; if so move your units off it to another controlled planet. **Flagship Wrath of Kenara:** after rolling a die in space combat here, may spend 1 TG for +1 result. **Faction techs:** Production Biomes text retrieved; Quantum Datahub Node text only partially retrievable from excerpts, otherwise unspecified. | Action phase; agenda; production; space combat | Mixed | Economy and vote-conversion faction | O-heavy | Quantum Datahub Node should be checked directly on card image if in use. citeturn18view0turn20view0turn24view0turn25view0turn11view3turn36view5 | Costs, votes, production. citeturn30view1turn28view5 | Use hero during a big dock build to make everything free |
| The Federation of Sol | faction | **Military Support:** start of Sol player’s turn, remove Sol strategy token, then place 2 infantry, then return. **Agent Evelyn:** start of ground-combat round, one ground force gets +1 die. **Commander Claire Gibson:** start of ground combat on your planet, place 1 infantry. **Hero Jace X.:** Action, remove all your command tokens from map and return them to reinforcements. **Mech ZS Thunderbolt M2:** Deploy after Orbital Drop for 3 resources. **Flagship Genesis:** end of status phase, place 1 infantry in space area. **Unit techs:** Advanced Carrier II, Spec Ops II. | Start of Sol turn; start of ground combat; status end | Mixed | Infantry and command-token faction | O-heavy | Military Support is a classic “start of your turn” promissory and can be chained by timing. citeturn17view1turn20view0turn24view0turn25view0turn35view2turn34view1turn8search8 | Ground combat timing; start of turn. citeturn6view3turn29view0 | Use Military Support at start of Sol turn to reinforce a front |
| The Ghosts of Creuss | faction | **Creuss Iff:** start of your turn in action phase, place or move Creuss wormhole token, then return. **Agent Emissary Taivra:** after a system with non-delta wormhole activates, system is adjacent to all wormhole systems this tactical action. **Commander Sai Seravus:** after your ships move through wormholes, carriers can spawn fighters if capacity remains. **Hero Riftwalker Meian:** Action, swap positions of two systems that contain wormholes or your units, with listed exceptions. **Mech Icarus Drive:** after any player activates a system, remove mech to place/move Creuss wormhole token there. **Flagship Hil Colish:** its system contains a delta wormhole; may move before or after your other ships. **Faction techs:** Wormhole Generator / Ω; Dimensional Splicer. | Start of turn; activation; movement; space combat start | Mixed | Wormhole topology faction | O-heavy | Creuss windows span activation, movement, status/action based on version used. citeturn17view1turn22view0turn24view0turn25view0turn36view2turn37view0 | Activation, movement, combat. citeturn29view0turn28view2turn26view3 | Open a wormhole route, then fight with Dimensional Splicer |
| The L1Z1X Mindnet | faction | **Cybernetic Enhancements / Ω:** base manipulates strategy token; Ω grants +1 command token during status gain. **Agent I48S:** after activation, replace infantry with mech. **Commander 2RAM:** units with Planetary Shield do not stop your Bombardment. **Hero The Helmsman:** Action, move flagship and any number of dreadnoughts into empty chosen system. **Mech Annihilator:** can use Bombardment on planets in its system while not in ground combat. **Flagship [0.0.1]:** hits by flagship and dreadnoughts must hit non-fighters if able. **Faction tech:** Inheritance Systems. **Unit tech:** Super-Dreadnought II. | Status CT gain; activation; bombardment; action phase | Mixed | Dreadnought-bombardment faction | O-heavy | Commander and mech both pressure Planetary Shield timing. citeturn17view1turn18view1turn22view0turn24view0turn25view0turn36view5turn33view1 | Bombardment, status phase, component action. citeturn30view3turn30view1 | Upgrade to Super-Dreadnought II, then hero-jump the armada |
| The Mentak Coalition | faction | **Promise of Protection:** Action, Mentak cannot Pillage you until returned. **Agent Suffi An:** after Pillage is used against another player, both draw 1 AC. **Commander S’Ula Mentarion:** after winning space combat, force opponent to give 1 promissory note. **Hero Ipswitch:** start of a space combat you are in, purge; whenever another player’s ship is destroyed during that combat, place one of that type from your reinforcements. **Mech Moll Terminus:** enemy ground forces on planet cannot Sustain Damage. **Flagship Fourth Moon:** enemy ships in system cannot Sustain Damage. **Faction techs:** Salvage Operations; Mirror Computing text not directly retrieved, otherwise unspecified. | Pillage; space-combat start/end | Mixed | Anti-Sustain, piracy, card-theft faction | O-heavy | Fourth Moon and Direct Hit windows are especially punishing together. citeturn18view1turn22view0turn24view0turn25view0turn36view5 | Sustain Damage, space combat timing. citeturn30view1turn26view3 | Enter battle with Fourth Moon so enemy sustains do nothing |
| The Naalu Collective | faction | **Gift of Prescience:** end of strategy phase, take Naalu 0 token for this round; Naalu loses TELEPATHIC for round. **Agent Z’eu / Ω:** base reveals top agenda after agenda reveal; Ω lets chosen player take a tokenless tactical action. **Commander M’aban / Ω:** base produces 1 extra fighter for cost; Ω lets you look at neighbors’ promissories and top/bottom agenda. **Hero The Oracle:** end of status phase, each other player gives 1 promissory note if you choose; then purge. **Mech Iconoclast / Ω:** base +2 combat rolls vs. opponent with relic frag; Ω prevents enemy AFB against your units in system. **Flagship Matriarch:** fighters may commit to planets as ground forces during invasion, then return. **Unit tech:** Hybrid Crystal Fighter II. | End of strategy; agenda reveal; status end; invasion | Mixed | Initiative and fighter-identity faction | O-heavy | Gift of Prescience fundamentally changes initiative order for the round. citeturn18view1turn22view0turn24view1turn25view0turn34view2 | Strategy phase, invasion, status phase. citeturn28view0turn29view0turn30view3 | Take the 0 token, then use Matriarch to land fighters |
| The Nekro Virus | faction | **Antivirus:** start of a combat, Nekro cannot use Technological Singularity against you until returned. **Agent Nekro Malleon:** action-phase exhaust to let player discard AC or spend CT to gain 2 TG. **Commander Nekro Acidos:** after you gain a technology, draw 1 AC. **Hero FLAYESH:** Action, choose tech-specialty planet in system with your units, destroy others there, gain TG equal to combined values and gain matching tech. **Mech Mordred:** +2 combat rolls against opponent with your X/Y token on their techs. **Flagship Alastor:** at start of space combat, any number of your ground forces in system can participate as ships. | Combat start; tech gain; action phase | Mixed | Technology-parasitic faction | O-heavy | Nekro can still play rider cards even when unable to vote. citeturn18view1turn22view0turn23view2turn25view0turn26view1 | Combat start, agenda FAQ, abilities. citeturn26view3turn28view6 | Bring infantry in space via Alastor |
| Sardakk N’orr | faction | **Tekklar Legion:** start of invasion combat, +1 to your rolls, and -1 to Sardakk’s if opponent is Sardakk. **Agent T’ro:** end of a player’s tactical action, they may place 2 infantry in active system. **Commander G’hom Sek’kus:** during Commit Ground Forces, can commit up to 1 ground force from each planet in active and adjacent eligible systems. **Hero Sh’val:** after moving ships into active system, skip directly to Commit Ground Forces, then purge and return your ships to reinforcements after landing. **Mech Valkyrie Exoskeleton:** after using Sustain Damage during ground combat, it produces 1 hit. **Flagship C’Morran N’orr:** +1 to your other ships’ combat rolls in system. **Faction tech:** Valkyrie Particle Weave. **Unit tech:** Exotrireme II. | Invasion; commit ground forces; ground combat | Mixed | Ground-combat pressure faction | O-heavy | Commit Ground Forces windows are where Sardakk tricks are easiest to miss. citeturn18view2turn20view1turn24view2turn25view1turn37view1turn33view1 | Invasion step 2 and ground combat. citeturn29view0 | Skip space combat entirely with hero and crash-land troops |
| The Universities of Jol-Nar | faction | **Research Agreement:** after Jol-Nar researches non-faction tech, gain it, then return. **Agent Doctor Sucaban:** when a player spends resources to research, remove infantry to reduce cost by 1 each. **Commander Ta-Zern:** after you roll dice for a unit ability, reroll any of them. **Hero Rin:** Action, swap each of your non-unit-upgrade techs for another same-color tech from deck. **Mech Shield Paling:** your infantry on this planet are not affected by FRAGILE. **Flagship J.N.S. Hylarim:** each natural 9 or 10 produces 2 extra hits. **Faction tech:** E-Res Siphons text not fully retrievable; Spacial Conduit Cylinder text not fully retrievable. | Research; unit-ability rolls; action phase | Mixed | Tech-and-dice faction | O-heavy | Commander applies to unit-ability dice, not general combat dice. citeturn17view2turn22view1turn24view2turn25view1turn15view1turn15view2 | Research timing; reroll rules. citeturn31view0turn30view2 | Pay less for tech by removing expendable infantry |
| The Winnu | faction | **Acquiescence / Ω:** base swaps strategy card with Winnu at end of strategy phase; Ω grants free resolution of Winnu’s strategic-action secondary. **Agent Berekar:** when units use Production, reduce combined cost by 2. **Commander Rickar:** +2 to your combat rolls in Mecatol / home / legendary systems. **Hero Mathis:** Action, perform any strategy card’s primary; chosen others may do secondary; purge. **Mech Reclaimer:** after tactical action where you gain control of this planet, place 1 PDS or 1 dock here. **Flagship Salai Sai Corian:** rolls dice equal to opponent’s non-fighter ships in system. **Faction tech:** Lazax Gate Folding and Hegemonic Trade Policy both retrieved. | End of strategy; production; combat; tactical control | Mixed | Strategy-card and Mecatol faction | O-heavy | Check Acquiescence version carefully; base and Ω are very different. citeturn17view2turn18view1turn22view1turn24view2turn25view1turn36view3turn36view6 | Strategy phase, production, combat. citeturn28view0turn30view1 | Use hero to fire Imperial or Technology out of sequence |
| The Xxcha Kingdom | faction | **Political Favor:** when agenda revealed, remove Xxcha strategy token, discard revealed agenda, reveal next instead, vote on that one. **Agent Ggrucoto Rinn:** Action, ready any planet; if adjacent to your planets, you may remove 1 infantry from it. **Commander Elder Qanoj:** each exhausted planet gives +1 vote; game effects cannot prevent you voting. **Hero Xxekir Grom / Ω:** base Action, discard a law, look at top 5 agendas, choose 2 and resolve each as if you cast 1 vote; others cannot resolve abilities during this action. Ω retrievable text says when you exhaust planets, combine resources and influence and treat as both. **Mech Indomitus:** adjacent Space Cannon. **Flagship Loncarra Ssodu:** adjacent Space Cannon 5(x3). **Faction tech:** Nullification Field. | Agenda reveal and resolution; action phase; adjacent SC | Mixed | Agenda-control and PDS faction | O-heavy | Political Favor is a classic “when agenda is revealed” replacement effect. citeturn17view2turn22view1turn24view2turn25view1turn36view6 | Agenda reveal, agenda vote, Space Cannon. citeturn28view5turn26view4 | Replace an agenda before anyone votes on it |
| The Yin Brotherhood | faction | **Greyfire Mutagen / Ω:** base after a system is activated, Yin cannot use faction abilities/tech in that tactical action; Ω at start of ground combat vs. 2+ non-Yin ground forces, replace one enemy infantry with yours. **Agent Brother Milor / Ω:** base after destroyer/cruiser destroyed, may place up to 2 fighters; Ω works on any unit and places 2 fighters or infantry depending on type. **Commander Brother Omar / Ω:** base satisfies green prerequisite and extra infantry for cost; Ω satisfies green prerequisite and can ignore researched-player tech prerequisites by returning infantry. **Hero Dannel / Ω:** base Spinner Overdrive readies or doubles infantry on planets with your infantry; Ω Quantum Dissemination commits up to 3 infantry from reinforcements to any non-home planets and resolves invasions without Space Cannon against them. **Mech Moyin’s Ashes:** Deploy on Indoctrination for +1 influence to replace with mech. **Faction tech:** Impulse Core text not fully retrievable. **Flagship Van Hauge:** when destroyed, destroy all ships in system. | Activation; ground-combat start; destruction | Mixed | Sacrifice and infantry-conversion faction | O-heavy | Hero version matters enormously; Codex Ω creates a very different invasion timing. citeturn17view2turn18view2turn22view1turn24view2turn25view1turn36view6 | Ground combat and activation timing. citeturn29view0turn30view1 | Launch “space-cannon-proof” infantry invasions with Ω hero |
| The Yssaril Tribes | faction | **Spy Net:** start of your turn, look at Yssaril player’s action cards and take 1, then return. **Agent Clever Clever Ssruu:** has text ability of every other player’s agent, even if exhausted. **Commander So Ata:** after another player activates a system containing your units, look at that player’s ACs, promissories, or secrets. **Hero Kyver:** Action, every player shows 1 AC; for each, take it or make that player discard 3 random ACs, then purge. **Mech Blackshade Infiltrator:** Deploy after Stall Tactics, place 1 mech on a controlled planet. **Flagship Y’sia Y’ssrila:** can move through systems containing other players’ ships. | Start of turn; activation; action phase | Mixed | Hand-knowledge faction | O-heavy | Commander is checked immediately after the triggering activation. citeturn18view2turn19view2turn24view2turn25view1 | Activation, start of turn, component action. citeturn6view3turn26view9 | Peek at a hand before negotiating or threatening Sabotage |
| The Argent Flight | faction | **Strike Wing Ambuscade:** when one or more units make a roll for a unit ability, choose one to roll 1 extra die, then return. **Agent Trillossa:** when a player produces ground forces, they may place them on planets they control in system and adjacent systems. **Commander Trrakan:** when your units roll for unit abilities, choose one to roll 1 extra die. **Hero Mirik:** Action, move any number of your ships from any systems to systems with your command tokens and no enemy ships. **Mech Aerie Sentinel:** does not count against capacity if transported or in space with your capacity ships. **Flagship Quetzecoatl:** opponents cannot use Space Cannon against your ships in system. **Faction tech:** Aerie Hololattice. **Unit tech:** Strike Wing Alpha II. | Unit-ability roll windows; action phase; movement | Mixed | Unit-ability dice faction | O-heavy | You must check Argent abilities at **every** AFB/Space Cannon/Bombardment roll. citeturn18view2turn19view2turn23view0turn25view1turn37view6turn33view1 | Unit-ability roll timing; Space Cannon. citeturn30view1turn26view4 | Trigger on AFB, then stack with Strike Wing Ambuscade |
| The Empyrean | faction | **Dark Pact / Blood Pact:** Action face-up contracts for either commodity→TG synergy or +4 joint-vote rider. **Agent Acamar:** after ships move into system with no planets, player gains 1 CT. **Commander Xuange:** after another player moves into system containing your command token, return that token. **Hero Conservator Procyon:** Action, place frontier tokens in all empty planetless systems, then explore frontier tokens in systems with your ships. **Mech Watcher:** remove mech from a system containing or adjacent to another player’s units to cancel an action card played by that player. **Flagship Dynamo:** after any unit in or adjacent to this system uses Sustain Damage, you may spend 2 influence to repair it. **Faction tech:** Aetherstream text not fully retrievable; Dark Energy Tap retrieved. | Movement into empty systems; action-card play; sustain-damage window | Mixed | Frontier and adjacency faction | O-heavy | Watcher is unusually broad because it cancels an AC through a unit ability, not Sabotage. citeturn18view2turn21view0turn24view0turn25view2turn36view3 | Action cards, movement, sustain damage. citeturn6view3turn30view1 | Cancel a crucial action card by removing the mech |
| The Mahact Gene-Sorcerers | faction | **Scepter of Dominion:** start of strategy phase, choose system with your units; players whose token is on Mahact sheet place one from reinforcements there. **Agent Jae Mir Kan:** use an active player token from the board instead of spending one for a strategic secondary. **Commander Il Na Viroset:** during your tactical actions, you can activate systems that contain your command tokens; return both tokens and end turn. **Hero Benediction:** Action, move all units from one system into adjacent system containing a different player’s ships; resolve space combat there; no retreat or ship-moving abilities; purge. **Mech Starlancer:** if a player whose token is in your fleet pool activates this system, you may spend their token from your fleet pool to end their turn; they gain it. **Flagship Arvicon Rex:** +2 to its combat rolls against opponent whose token is not in your fleet pool. **Unit tech:** Crimson Legionnaire II. | Strategy start; tactical activation; action phase special combat | Mixed | Token-as-relationship faction | O-heavy | Benediction creates one of the strangest timing cases in the game; official-ruling notes on attacker/defender order matter here. citeturn17view3turn21view0turn24view0turn25view2turn35view0turn27view0turn27view1 | Strategy phase, attacker/defender, tactical action. citeturn28view0turn27view0turn27view1 | Use Benediction to force two opponents to fight each other |
| The Naaz-Rokha Alliance | faction | **Black Market Forgery:** Action, purge 2 same-type relic fragments to gain 1 relic, then return. **Agent Garv and Gunn:** end of a player’s turn, that player explores 1 planet. **Commander Dart and Tai:** after taking a planet from another player, you may explore it. **Hero Perfect Synthesis:** Action, gain 1 relic and perform up to 2 readied/unchosen strategy-card secondaries using reinforcements instead of strategy pool. **Mech Eidolon / Z-Grav Eidolon:** flips into ship-mode in active-system space combat, flips back at end of space battle. **Flagship Visz el Vir:** your mechs in system roll 1 extra die during combat. **Faction tech:** Supercharge. **Basic tech:** AI Development Algorithm. | End of turn; planet gain; action phase; combat start/end | Mixed | Relic and mech-combat faction | O-heavy | Eidolon is one of the few state-flip combat cards to monitor at both start and end of battle. citeturn17view3turn21view0turn23view2turn25view2turn37view7turn37view2 | Space combat timing; component action. citeturn26view3turn26view9 | Flip mechs into ships before a decisive fight |
| The Nomad | faction | **The Cavalry:** start of space combat against non-Nomad, one non-fighter ship gains flagship’s SD/combat/AFB values for this combat; then return after combat. **Agents Artuno / Mercer / Thundarian:** store TG for later; reposition ground forces at end of a turn; or rewind combat round after Roll Dice so hits are not assigned. **Commander Navarch Feng:** you can produce flagship without spending resources. **Hero Ahk-Syl Siven:** for this round, flagship and cargo may move out of systems with your command tokens. **Mech Quantum Manipulator:** in space combat, may use its Sustain Damage to cancel a hit against your ships. **Flagship Memoria / Memoria II:** adjacent to systems with your mechs. **Faction techs:** Sling Relay; Temporal Command Suite. | Start of space combat; end of turn; roll-dice step; action phase | Mixed | Flagship-centric faction | O-heavy | Thundarian rewinds to the start of the round’s Roll Dice step, so memory discipline is essential. citeturn17view3turn21view0turn23view2turn25view2turn37view5turn37view9 | Space combat steps; component action. citeturn26view3turn26view9 | Use The Cavalry on a dreadnought and Thundarian after bad dice |
| The Titans of Ul | faction | **Terraform:** Action, attach to a non-home planet you control other than Mecatol Rex; +1/+1 and all 3 traits. **Agent Tellurian:** when a hit is produced against a unit, cancel it. **Commander Tungstantus:** when your units use Production, gain 1 TG. **Hero Geoform:** Action, ready Elysium, attach the hero, +3/+3 and Space Cannon 5(x3) as if it were a unit. **Mech Hecatoncheires:** Deploy when you would place PDS; place mech and infantry instead. **Flagship Ouranos:** Deploy, after you activate a system with your PDS you may replace one with this unit. **Unit techs:** Saturn Engine II; Hel Titan II. **Basic tech:** Scanlink Drone Network. | Action phase; hit production; production; activation | Mixed | Structure-to-unit conversion faction | O-heavy | Titans cards constantly create “is it a structure, unit, planet ability, or attachment?” checks. citeturn18view3turn21view0turn24view2turn25view2turn33view0turn34view0turn37view3 | Hit timing, activation, attachment rules. citeturn30view1turn26view4 | Replace a PDS with Ouranos during activation |
| The Vuil’Raith Cabal | faction | **Crucible:** after you activate a system, your ships ignore rift rolls this movement and get +1 move out of/through rifts, then return. **Agent The Stillness of Stars:** after another player replenishes commodities, convert them to TG and capture a unit from reinforcements of cost ≤ commodity value. **Commander That Which Molds Flesh:** when producing fighters/infantry, up to 2 do not count against Production limit. **Hero It Feeds on Carrion:** Action, each other player rolls for each non-fighter ship in or adjacent to a dimensional tear; on 1–3 capture it, and related fighters/ground forces too, then purge. **Mech Reanimator:** destroyed infantry on this planet become captured on your sheet. **Flagship The Terror Between:** capture all other non-structure units destroyed in this system, including your own. **Faction tech:** Vortex. **Unit tech:** Dimensional Tear II. | Activation; replenish commodities; production; capture windows | Mixed | Capture / gravity-rift faction | O-heavy | Cabal effects often replace destruction with capture; that changes downstream triggers. citeturn18view3turn21view0turn24view2turn25view2turn37view8turn33view3 | Activation, capture, production. citeturn30view1turn29view0 | Vortex-capture a unit type and then build around it |
| The Council Keleres | faction | **Keleres Rider:** standard rider, if correct draw 1 AC and gain 2 TG. **Agent Xander Alexin Victori III:** at any time, allow any player to spend commodities as TG. **Commander Suffi An:** after you perform a component action, you may perform an additional action. **Hero Overwing Zeta / Operation Archon / Erwan’s Covenant:** hero depends on Keleres branch chosen. **Mech Omniopiares:** others must spend 1 influence to commit ground forces to its planet. **Flagship Artemiris:** others must spend 2 influence to activate its system. **Faction tech:** I.I.H.Q. Modernization and Agency Supply Network not directly retrievable here; otherwise unspecified. | Agenda reveal; component action; activation; commit GF | Mixed | Tax-and-additional-action faction | O-heavy | Suffi An is one of the cleanest “check after component action resolves” triggers. citeturn18view3turn21view0turn24view0turn25view2turn37view6 | Component action, activation, agenda phase. citeturn26view9turn28view5 | Component-action into extra action with commander |

## Phase checklists

The purpose of these checklists is not to restate the full rules, but to show **exactly where players should pause and ask whether a card can trigger**.

### Strategy phase

Use this order.

1. **Start of strategy phase**: check “start of strategy phase” cards and promissories first. Examples include **Summit** and **Scepter of Dominion**. If multiple such effects exist, resolve them starting with the **speaker** and proceeding clockwise, because this is not the action phase. citeturn13view0turn17view3turn30view1turn28view0  
2. **Choose strategy cards**: while choosing, check **Public Disgrace** and any similar “when another player chooses a strategy card” effects. “When” effects take priority over later “after” windows. citeturn12view2turn30view1  
3. **End of strategy phase**: check effects such as **Gift of Prescience**, **Acquiescence** (base), and other “end of strategy phase” cards. citeturn18view1turn17view2

### Action phase

On every turn, use this structure.

1. **Start of your turn**: check start-of-turn promissories and technologies, especially **Creuss Iff**, **Spy Net**, **Transit Diodes**, **Chaos Mapping**, and similar effects. citeturn17view1turn18view2turn16view2turn36view1  
2. **Choose action type**: strategic, tactical, or component action. Remember that “Action:” text on a card is a **component action**. citeturn6view3turn26view9  
3. **If tactical action**: follow the tactical-action checklist below.  
